,Brooklyn_All,Brooklyn_Q1,Brooklyn_Q2,Brooklyn_Q3,Brooklyn_Q4,Brooklyn_Q5,Brooklyn_All_MoM,Brooklyn_Q1_MoM,Brooklyn_Q2_MoM,Brooklyn_Q3_MoM,Brooklyn_Q4_MoM,Brooklyn_Q5_MoM,Brooklyn_All_YoY,Brooklyn_Q1_YoY,Brooklyn_Q2_YoY,Brooklyn_Q3_YoY,Brooklyn_Q4_YoY,Brooklyn_Q5_YoY,Manhattan_All,Manhattan_Q1,Manhattan_Q2,Manhattan_Q3,Manhattan_Q4,Manhattan_Q5,Manhattan_All_MoM,Manhattan_Q1_MoM,Manhattan_Q2_MoM,Manhattan_Q3_MoM,Manhattan_Q4_MoM,Manhattan_Q5_MoM,Manhattan_All_YoY,Manhattan_Q1_YoY,Manhattan_Q2_YoY,Manhattan_Q3_YoY,Manhattan_Q4_YoY,Manhattan_Q5_YoY,NYC_All,NYC_Q1,NYC_Q2,NYC_Q3,NYC_Q4,NYC_Q5,NYC_All_MoM,NYC_Q1_MoM,NYC_Q2_MoM,NYC_Q3_MoM,NYC_Q4_MoM,NYC_Q5_MoM,NYC_All_YoY,NYC_Q1_YoY,NYC_Q2_YoY,NYC_Q3_YoY,NYC_Q4_YoY,NYC_Q5_YoY,Queens_All,Queens_Q1,Queens_Q2,Queens_Q3,Queens_Q4,Queens_Q5,Queens_All_MoM,Queens_Q1_MoM,Queens_Q2_MoM,Queens_Q3_MoM,Queens_Q4_MoM,Queens_Q5_MoM,Queens_All_YoY,Queens_Q1_YoY,Queens_Q2_YoY,Queens_Q3_YoY,Queens_Q4_YoY,Queens_Q5_YoY
2006-04,787545.1608543901,362515.1220109033,484226.2493160368,629940.5327933532,782000.853062836,1279075.2101942096,0.008416550708467918,0.057883779927830004,-0.017817742150987304,0.017738391221633343,-0.01882405879904514,0.016523816847422435,0.08919561932694386,0.171254202515015,-0.039242024712857426,0.11716345394088101,0.11164851989276325,0.14607044551162618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05,812103.9241039361,389353.3987586536,505671.9589808605,630272.6267868022,776959.1112336437,1299021.828341292,0.03118394280132808,0.07403353713598482,0.04428861445474186,0.0005271830850070991,-0.006447233157669152,0.015594562374525056,0.12085332567188622,0.33396835074233655,0.03836486624020785,0.09569269817125736,0.07902007454617865,0.11098811100362638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06,811918.3163752481,357365.2350094066,516654.3413718583,648491.1847239956,793545.5238490246,1300450.5343356135,-0.00022855169539137687,-0.08215714528557472,0.02171839311226975,0.028905837193142325,0.02134785779015469,0.0010998321684445589,0.07272929530706773,0.08648379677869711,0.07773502893815998,0.1062206321137773,0.06692312514213761,0.12626236731947404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07,830685.6414277437,380364.5517042446,530173.9685248836,662917.0294509971,819124.232471416,1302836.4728991804,0.02311479452302656,0.06435801371174965,0.02616764453604903,0.022245244140275178,0.032233448307192436,0.0018347015134918543,0.08324449029392911,0.1316045012438698,0.07608884106378766,0.10336946319322271,0.09491473005939066,0.11448857941226342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-08,833332.2630990009,390309.121499469,543947.5240248123,682121.8530528726,823673.808505483,1268310.2620318672,0.003186068880049797,0.026144838552034422,0.02597931305124468,0.028970176882890053,0.005554195387847516,-0.026500801586006095,0.07153650175739279,0.08505342606669752,0.10918138459843973,0.13697132217596675,0.0980534512039486,0.04616785058416761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-09,848432.2893520104,396493.4318277439,561437.5325649866,694445.8564614523,818707.8949239521,1285597.8088865255,0.01812005477485701,0.015844647197883477,0.032153852656155335,0.018067158167449193,-0.006028980805570794,0.013630376866117233,0.07778908640481363,0.12899836936071174,0.11849400453747716,0.12098153249533627,0.08853187674555629,0.045091349242138534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-10,838948.6042965588,392695.611805682,545019.9069305266,698104.9639591476,842954.9036145471,1263944.5032601496,-0.011177892655045873,-0.009578519383170558,-0.02924212344595911,0.005269104082988196,0.02961619014660566,-0.016842985789723874,0.07245895299769889,0.10521858104547954,0.09071655557926506,0.12537767932489619,0.10862317159363721,0.03228414067912322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-11,835197.1079076383,394378.3839559237,539741.9581012335,702440.9209474531,833141.2372607308,1276613.0562642824,-0.004471664139743092,0.004285181956844575,-0.00968395605771133,0.006211038758004328,-0.011641982639564397,0.010023029469613753,0.06478529143289946,0.12937647847457412,0.07269995046594002,0.151092859416893,0.0768037071687564,0.03141036740208136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12,840898.284345314,390851.3466341624,542365.6118087,713210.7130723217,846077.0554092503,1281186.3894799312,0.006826144850954341,-0.00894328255616439,0.004860940803446789,0.015331954337657772,0.015526560887864527,0.0035823957723193356,0.06912140040481773,0.09328559581744189,0.09222071866995618,0.14438000495551662,0.10344503853962062,0.039639005324935805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-01,836853.3663856564,387338.9364204913,547706.3800985919,704951.2581069475,851144.4099331517,1257464.5337136034,-0.004810234525340684,-0.008986562906635465,0.009847173518397145,-0.011580665873335949,0.005989235249324043,-0.01851553837998321,0.08316664852557665,0.16818601889688978,0.08946149876369947,0.15750633289040317,0.09414345726844853,-0.005617764537282244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-02,822437.7195612052,366649.5147888584,532755.2735321386,702824.857363026,845164.4103012031,1275770.5185492903,-0.017226012827924575,-0.053414257349983174,-0.027297667344612697,-0.003016379812742942,-0.007025834349799975,0.01455785379618213,0.04812191606115257,0.030722317802308607,0.0625745433263245,0.1489693028104635,0.0842315073366271,-0.00989424426582608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03,808475.8776381713,372575.5205739004,528523.4567431306,675614.5720063703,827586.9454747059,1251359.641500528,-0.016976169247785666,0.01616259001039322,-0.007943265884448714,-0.03871559901672761,-0.02079768694972961,-0.019134222568899406,0.03521740261143447,0.08724181718809021,0.07203267646758893,0.09152983782552804,0.03837278050452553,-0.005502671861025266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-04,807333.0027026432,371165.9962435338,537187.1354503741,661182.5691578619,802065.7414875969,1259534.8076657404,-0.0014136166175630072,-0.0037831909305136024,0.016392231218328224,-0.021361295991070395,-0.030838093963009516,0.0065330268726018215,0.02512597731765087,0.02386348515516623,0.10937219163385681,0.04959521532290001,0.025658397105544628,-0.015276976969557765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05,799759.3331055013,355098.6274191247,540140.2600400754,660036.8247998477,806774.7205379935,1272703.43730617,-0.009381097479959521,-0.04328890304344257,0.005497385165833091,-0.001732871390535129,0.0058710636881993405,0.010455153410833029,-0.015200752800272,-0.0879786113303257,0.06816336252594057,0.04722432285340794,0.03837474697607823,-0.020260160730884547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06,796217.6203333352,361919.4150198296,537959.8782270461,656253.1611275144,815211.2653984352,1268628.7215152401,-0.004428473198822669,0.019208149719639023,-0.004036695603596541,-0.0057325039000371,0.010457125943182488,-0.0032016223666012644,-0.01933777785924029,0.012743769019118778,0.041237506683125424,0.011969285915308658,0.027302455748628995,-0.024469837168109354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07,796379.3044429494,371743.531709499,538487.0314617758,647920.8484492911,814900.5496006096,1258840.2508918862,0.00020306522423663154,0.02714448654027346,0.0009799118039564014,-0.012696796254524023,-0.00038114757611174,-0.007715788281746239,-0.04129882024423848,-0.022665150987700056,0.015679877607008397,-0.022621505158986976,-0.005156339787510622,-0.033769565806973545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,795738.1177745648,363597.5913565304,547560.6229497136,667138.7224567834,794528.5153987552,1248371.5287106747,-0.0008051272362396,-0.021912796479628627,0.016850157864167548,0.029660835970146016,-0.02499941153781149,-0.008316164162843087,-0.04511303232714259,-0.06843685856051651,0.00664236670877183,-0.021965475125934386,-0.03538450877734056,-0.015720706453364208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09,792263.9205183884,348512.888852375,545197.5132527523,659232.8038233801,791774.8670031077,1256997.2870396427,-0.0043660058234895605,-0.041487355424650985,-0.004315704230576811,-0.011850486813730687,-0.003465764088108947,0.006909608342219098,-0.0662025355924637,-0.12101220127200996,-0.028925781356369473,-0.050706692696677935,-0.03289699303968008,-0.022246865737624466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-10,787538.8473339936,349384.9596261006,529266.2092146653,665761.7397209619,796807.5934384924,1261676.9151813106,-0.005964014089273495,0.0025022626181696594,-0.0292211604983994,0.009903839523330182,0.00635625939281681,0.003722862562964613,-0.061278791929895604,-0.11029064465587368,-0.02890481157758773,-0.046330030450948634,-0.054744696279928395,-0.001794056679696121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-11,798131.8245482704,365112.347363721,525361.8946552429,682219.5866317092,798886.0031260197,1245997.6233924062,0.01345073611306491,0.0450144956281211,-0.007376844566018503,0.024720325499097084,0.002608421034943076,-0.01242734300694659,-0.04437908489916231,-0.07420801388413201,-0.026642478373514633,-0.028787238488995337,-0.041115758772592104,-0.02398176387249662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-12,797450.0413384913,360014.0505584044,529720.3673064571,673732.3943445031,811530.70468896,1238503.9070301051,-0.0008542238121691526,-0.01396363843109838,0.008296133951767315,-0.012440557928143914,0.01582791726662114,-0.006014230060807257,-0.0516688448718261,-0.07889776085285383,-0.023314982047023758,-0.05535295250649919,-0.04083121093926856,-0.0333148110222683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01,784201.5985356596,339568.639582495,522312.8470751061,675043.5501786352,796788.9071202342,1246631.6577399576,-0.016613508202463212,-0.05679059176773049,-0.013983831259909985,0.0019461077501072843,-0.01816542181774372,0.006562555567016792,-0.06291636021899294,-0.12332944701985082,-0.046363405551191006,-0.042425213919931926,-0.06386166927558923,-0.008614856072046595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-02,770705.3614291424,330951.573988802,513229.1013180027,663687.5007095998,792132.7481172946,1262443.3666040732,-0.017210162707802068,-0.025376505923184856,-0.017391388720326084,-0.016822691611571128,-0.005843654399968923,0.012683545108088223,-0.06290124699006217,-0.09736257477556931,-0.03665129785516419,-0.05568578891797904,-0.06274715491747795,-0.010446355164541399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-03,764113.772873968,332694.2828147443,518651.6229057976,650527.4404574123,768158.174090354,1248611.1114032476,-0.008552669911302324,0.0052657517380512164,0.010565499060496641,-0.019828699859673615,-0.03026585390380876,-0.010956733241851424,-0.05487127815588,-0.10704202384988859,-0.018678137576268128,-0.03713231269487993,-0.07180970133629094,-0.002196434986495688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04,751198.2032599945,314268.3412147539,517980.9570747981,632171.50292722,767679.1300613434,1264636.833893199,-0.016902678727273468,-0.055384004330036984,-0.0012930950205882752,-0.028217007290707863,-0.0006236268065205053,0.012834838921096159,-0.06953115908148277,-0.15329436318150091,-0.035753235898833724,-0.043877542427642746,-0.04287255975112014,0.004050722692542363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05,752962.3959524063,306614.1965204626,502131.4512349908,632857.4969196138,790301.8687806573,1284675.726759223,0.002348504941513063,-0.024355443073602268,-0.03059862650031475,0.0010851390630823854,0.029469003172596597,0.015845571099122546,-0.05851377435181693,-0.13653792821180277,-0.07036840542540668,-0.041178502257773086,-0.020418155574273955,0.009406975028207532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06,747488.3446796805,310783.5442394923,505959.2831276671,627834.3504125341,788393.9118931046,1251511.1257448522,-0.007270019461996902,0.01359802568290891,0.007623166968055317,-0.007937247376430756,-0.002414212800099458,-0.025815542649064604,-0.06120095110838453,-0.14129076434746002,-0.05948509618383313,-0.04330464582624449,-0.03289620082988376,-0.013492990880691114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-07,744095.6411757189,310173.7078503758,502783.7062040336,629339.3156603829,780570.472699919,1226940.8210440357,-0.004538804555428322,-0.001962254438563571,-0.006276348768626594,0.0023970737613510096,-0.009923261805002692,-0.019632510007606352,-0.06565171015311833,-0.1656244658138054,-0.06630303641820678,-0.028678707952337956,-0.042127934405635226,-0.0253403319644806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08,743108.3183622458,319680.2050556552,503275.776622202,625997.2996272319,770517.77126709,1223249.570087395,-0.0013268762224074582,0.030648945944397266,0.0009786920540515442,-0.005310356353065426,-0.012878659627051592,-0.003008499589654101,-0.06613959823805893,-0.12078569095308278,-0.08087660885647463,-0.06166846780838242,-0.03022011629074728,-0.020123783701816667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09,738880.9392813427,311427.9846294554,504953.9031023655,621782.6130485996,762061.4118379107,1240685.4523056375,-0.005688779113952047,-0.025813986276576495,0.003334407412624696,-0.006732755206998675,-0.010974905115132105,0.01425374072847374,-0.06738030074891777,-0.10640898919129571,-0.07381473534295069,-0.05680874883285414,-0.037527656412817634,-0.012976825727620489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-10,741759.2159013244,311637.1696147332,495392.6762207045,627070.0708238207,775075.8717841291,1237237.9536043706,0.003895453877564181,0.0006716961724770876,-0.018934850929794078,0.008503707990959564,0.017077967397444604,-0.002778704864202508,-0.05812999776156336,-0.10804068398297328,-0.06400093639876048,-0.05811638997662727,-0.02727348714208866,-0.01937022171276548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-11,719915.616834342,305584.3756446349,490126.29022329,609080.8906505053,780334.1206855028,1206442.268554832,-0.02944836895681824,-0.019422567524859713,-0.01063073042902285,-0.02868767145860085,0.006784173127812432,-0.024890672776262113,-0.09799910905469467,-0.16304014955644597,-0.06706920465763033,-0.10720697179380057,-0.023222189859283926,-0.03174593120802183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12,707952.6047372384,288439.0666140476,483143.2744045139,615849.4581428469,780882.7605144738,1225921.64987403,-0.0166172421008286,-0.05610662847018588,-0.014247380640599383,0.011112756279568536,0.0007030832234902196,0.01614613631080064,-0.11222952155226507,-0.19881164036053456,-0.08792769879470608,-0.08591383862130064,-0.03776560023841957,-0.01015923896941684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-01,688039.2599958463,279787.2398436364,469460.5113513218,612322.4086125785,742390.2683205998,1213683.6857611237,-0.02812807610021162,-0.02999533617957517,-0.02832030119855522,-0.0057271293879263,-0.049293561262018004,-0.0099826641565256,-0.12262451226747983,-0.1760510034506153,-0.10118904028447984,-0.09291421501539998,-0.06827233450857484,-0.026429596725119242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02,671282.9910368276,277087.0228264694,456279.2066671169,584443.7560837802,766941.2689901434,1173442.0156635009,-0.024353652376057577,-0.00965096556467715,-0.028077557889295335,-0.04552936841224997,0.03307020810642047,-0.03315663757347653,-0.12900178896894254,-0.16275659460726766,-0.11096388436399085,-0.11939918190578247,-0.031802092751530786,-0.07049928202322675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03,672182.0255239947,274550.8568195872,449739.8513727704,604301.4681669847,738405.9722092745,1172719.1296383643,0.0013392779188081683,-0.009152958449701654,-0.014331916069796669,0.0339771139249847,-0.03720662576737099,-0.0006160389823163248,-0.12031159575124739,-0.17476532960902535,-0.1328671664940373,-0.0710592196663129,-0.038731869144413844,-0.06078111997545199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-04,665102.7454154944,265663.6275777531,440902.5538417817,589059.818216604,726634.1045460132,1170458.2895418815,-0.010531790258719975,-0.03237006558560496,-0.01964979866474814,-0.025221931028254763,-0.015942270385544854,-0.0019278615308168101,-0.11461084101488705,-0.15465991085556718,-0.14880547668837574,-0.06819618491341473,-0.053466381861977164,-0.07447082184170428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-05,669561.3457767783,271990.3290378404,437997.2703943799,582596.8079262906,732528.4661019568,1161864.3066003155,0.006703626457741585,0.023814707032996596,-0.00658940036088862,-0.010971738506762141,0.008111870223358464,-0.007342408540615075,-0.11076389820256005,-0.11292323667834947,-0.12772388720697148,-0.07941865149415683,-0.07310295592219473,-0.09559721383443331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06,657122.7411873549,267153.4552134075,443119.7622549754,571689.1065910858,710121.0454154117,1137593.2215791424,-0.018577244143317406,-0.017783256638363665,0.011695259780918565,-0.018722555954314157,-0.03058914666590762,-0.020889775925892584,-0.12089232445630949,-0.14038738483676938,-0.12419877047069738,-0.08942684289981373,-0.09928141922068212,-0.09102428402137475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-07,660157.3645456076,270108.3369873547,443701.2813550142,576785.0191505047,698266.8174262898,1136347.5156143855,0.004618046474498039,0.01106061597289365,0.0013123294187546986,0.008913782859717667,-0.016693249785587394,-0.001095036381306591,-0.11280576311061763,-0.12917075125641597,-0.11751061961630727,-0.08350709260032718,-0.10544039026860541,-0.07383673594995566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08,654995.9345498508,268860.4790683483,445970.7669457746,568301.9100576675,699726.0969740328,1140053.3595389125,-0.007818484308373175,-0.004619842293371312,0.005114895282316123,-0.014707575285729857,0.002089859508320524,0.0032611889176554776,-0.11857273244711897,-0.15897051235455562,-0.1138640330775248,-0.09216555663086845,-0.09187545950645981,-0.06801245844095283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09,649915.649128977,266623.0341442002,446675.3979945863,566682.063031259,702665.6055024083,1126878.8488548337,-0.007756209089091914,-0.008321955431684347,0.0015799938046106021,-0.002850328316236328,0.004200941684306736,-0.011556047419926996,-0.1204054475121471,-0.14386937814392364,-0.11541351547086631,-0.08861706464769514,-0.07794097091499985,-0.09172881268117583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10,644401.7823841597,257539.1800461223,442565.5161952321,563328.1540029116,717641.0035781339,1081911.5605122058,-0.008483972885107383,-0.034070027472438924,-0.009201048049223504,-0.005918502185170316,0.02131226853635182,-0.039904279318335734,-0.13125207133269512,-0.17359286645906358,-0.106636941887161,-0.10165038930524517,-0.07410225282047189,-0.12554286153254657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-11,632603.3542280192,247428.0292780015,433987.0542053763,565420.8913609531,710256.0057403727,1074612.8766542051,-0.018309117818527176,-0.03926063120302714,-0.01938348487610486,0.0037149525426181107,-0.0102906575863696,-0.006746100258458565,-0.12128124541909191,-0.19031191056136854,-0.11454034835049953,-0.0716817748836659,-0.08980526813766432,-0.10927119791529039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12,623104.281111769,249574.9144090372,423418.401894974,577604.5841377776,690424.5079430506,1097231.7866938526,-0.01501584373962439,0.008676806493186584,-0.02435245984411527,0.02154800603051399,-0.02792161929929715,0.02104842639711446,-0.11985028808102405,-0.13473955751289912,-0.12361731120680974,-0.062101011049681576,-0.11584101627730392,-0.10497397055790703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01,625719.1618792902,251849.1321877323,429380.1171470168,570274.9322017786,690263.2321792952,1109699.831483224,0.004196537958069513,0.009112365255458998,0.014079962574516491,-0.012689739896957875,-0.0002335892800733319,0.0113631822743121,-0.09057636931493163,-0.09985483137657658,-0.0853754325128121,-0.06866885127734024,-0.07021513934877399,-0.08567623961484616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-02,630942.1614611566,253269.7657658298,431932.8313467923,582091.6731064727,674904.0025754056,1117401.103167834,0.008347194556387771,0.005640811885103236,0.005945115057345518,0.020721129822541373,-0.022251264282754035,0.006939959317031397,-0.060095116537010274,-0.08595587342087674,-0.05335850278640197,-0.00402448131718991,-0.12000562511902146,-0.04775771767809045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03,616233.7034571789,247692.706225925,426296.5725487829,575416.0908139116,658283.9069555248,1103663.0977989594,-0.0233118959270614,-0.022020234128779737,-0.01304892425156745,-0.011468266255957982,-0.024625866132752527,-0.012294605160069527,-0.08323388597486181,-0.09782577590464847,-0.052126309804279125,-0.047799614719935324,-0.10850679472977232,-0.05888539727385533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-04,617389.6497095447,247198.5893780119,417574.9295815357,589110.1193640449,667164.534350365,1126297.355072738,0.0018758244573133798,-0.001994878474388395,-0.020459097090791634,0.023798480384452425,0.01349057344560034,0.020508303049108223,-0.0717379322741225,-0.0695053303611799,-0.05290879822986272,8.53922570940302e-05,-0.08184252545206849,-0.037729609729560076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-05,619964.6279430503,250143.2844232572,421645.3682294445,574359.8747512402,666902.5557243532,1106259.6112606076,0.004170750570109183,0.011912264761116065,0.009747804189269571,-0.025038178988892268,-0.00039267468896109214,-0.017790811389090222,-0.07407344845480779,-0.08032287284576123,-0.03733334262611254,-0.014138308111177333,-0.08958820498379028,-0.04785816641739393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06,625810.7057207074,259781.6530119661,421805.4967933192,564722.9226722292,659807.6413544765,1117104.4098950857,0.009429695686112849,0.03853139056253929,0.0003797707171482312,-0.016778595620358883,-0.010638607258253274,0.009803122634225225,-0.04765020825495969,-0.02759388680020136,-0.048100462396871824,-0.012185266149979834,-0.07085187009420701,-0.018010666111050844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07,617399.05825536,255534.9102473699,411479.9183443756,564281.9721091073,658098.9168166827,1104756.149196423,-0.013441200970923384,-0.016347354462328267,-0.024479478165745694,-0.0007808263936505133,-0.00258973135607532,-0.011053810717498225,-0.06476986940784724,-0.0539540056502108,-0.07261949506261989,-0.02167713554664097,-0.05752514598597158,-0.02780079683712089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08,616221.6375490518,258274.7777835977,416905.7146673417,550290.9300985005,659453.0478851154,1125143.8334456736,-0.001907065925295326,0.010722086988331547,0.013186053756395255,-0.0247944160936292,0.002057640627920909,0.018454465507234508,-0.05919776742957472,-0.03937247051493786,-0.06517255038370473,-0.0316926261207523,-0.05755544814332114,-0.013077919527616721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09,616055.827660379,250964.8666701586,412573.6703513579,543252.5769528893,673980.9778224145,1118365.8120439546,-0.0002690750836538136,-0.02830284542753103,-0.010390944915303901,-0.012790240145065246,0.022030271880447927,-0.0060241377148748665,-0.052098793918837316,-0.058727737175074846,-0.07634565905427759,-0.041345028556298735,-0.04082258681138129,-0.007554527107798914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10,613651.8984870785,248436.5072611822,413745.1932921008,539561.6656614378,678650.6556758408,1118430.5910784008,-0.0039021287769162027,-0.010074555225689785,0.0028395484853533937,-0.006794098082615441,0.006928500962317452,5.792293876361043e-05,-0.04771849603412448,-0.03534480766503134,-0.06512103145970727,-0.04218942045163787,-0.05433127107828084,0.03375417353790544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-11,608045.455957228,242780.8477882904,405334.3624789581,549148.8873415834,674707.0311735098,1129750.928133133,-0.009136193571099294,-0.022765009600404618,-0.020328528160579062,0.017768537481981372,-0.005810978696253799,0.010121626809060258,-0.038820373155877164,-0.01878195248643255,-0.06602199639083906,-0.028778568793599857,-0.05005093132553884,0.051309688053059244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12,592388.5209256964,229258.2212393707,398495.6513342367,538003.2347952141,659841.2160423642,1146504.4771201473,-0.025749612760255447,-0.055698901590094496,-0.01687177742073709,-0.02029623077327003,-0.022032992757300307,0.014829418210524414,-0.04929473463297074,-0.08140518937079055,-0.058860811077642294,-0.06856134876713027,-0.04429635904988616,0.04490636438337403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-01,589759.8127423215,233554.9327436225,396915.0061576183,523479.6981006404,671105.8216504318,1115659.9921329375,-0.004437473196251429,0.01874179901171602,-0.003966530553912273,-0.0269952590528606,0.017071691392106514,-0.02690306545046095,-0.05746883159046645,-0.0726395174968203,-0.075609255512599,-0.082057322632903,-0.027753775133552483,0.005370966526819565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
